ID,Type,Species,Capture Method,Date,Time,Latitude,Longitude,Sex,Notch Pattern,Name,Found,Active,Exposure,Microhabitat,Habitat Notes,Emergent Vegetation,Submergent Vegetation,Water Depth,Notes
2818,tracked turtle,Terrapene ornata,Telemetry,5/7/21,11:35:11,41.34092933,-91.08426263,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
2831,tracked turtle,Terrapene ornata,Telemetry,5/8/21,12:13:35,41.34097344,-91.0844435,Female,"3,11L1,8R",Cuatro,Found,Not Active,25,On Land,,,,,
2847,tracked turtle,Terrapene ornata,Telemetry,5/9/21,10:56:00,41.34075562,-91.08447796,Female,"3,11L1,8R",Cuatro,Found,Not Active,10,On Land,,,,,
2857,tracked turtle,Terrapene ornata,Telemetry,5/10/21,10:24:06,41.34099723,-91.08437318,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
2903,tracked turtle,Terrapene ornata,Telemetry,5/12/21,10:09:19,41.34090574,-91.08445966,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
2888,tracked turtle,Terrapene ornata,Telemetry,5/13/21,10:52:43,41.34089065,-91.08437452,Female,"3,11L1,8R",Cuatro,Found,Not Active,25,On Land,,,,,
2919,tracked turtle,Terrapene ornata,Telemetry,5/14/21,10:10:15,41.34084722,-91.0845816,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
2948,tracked turtle,Terrapene ornata,Telemetry,5/16/21,10:49:32,41.34098446,-91.08469964,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
3021,tracked turtle,Terrapene ornata,Telemetry,5/19/21,10:51:22,41.34093,-91.08445451,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
3101,tracked turtle,Terrapene ornata,Telemetry,5/20/21,11:29:38,41.3407443,-91.08457779,Female,"3,11L1,8R",Cuatro,Found,Not Active,20,On Land,,,,,
3133,tracked turtle,Terrapene ornata,Telemetry,5/21/21,11:58:25,41.34085068,-91.0848094,Female,"3,11L1,8R",Cuatro,Found,Not Active,25,On Land,,,,,
3188,tracked turtle,Terrapene ornata,Telemetry,5/22/21,11:49:35,41.34103729,-91.08459254,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
3288,tracked turtle,Terrapene ornata,Telemetry,5/25/21,11:34:52,41.34096111,-91.08445352,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
3382,tracked turtle,Terrapene ornata,Telemetry,5/29/21,11:56:47,41.34105141,-91.08447561,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
3418,tracked turtle,Terrapene ornata,Telemetry,5/30/21,11:43:47,41.3409309,-91.08455426,Female,"3,11L1,8R",Cuatro,Found,Not Active,0,On Land,,,,,
3457,tracked turtle,Terrapene ornata,Telemetry,6/1/21,10:43:05,41.34101678,-91.08443636,Female,"3,11L1,8R",Cuatro,Found,Active,10,On Land,,,,,
3539,tracked turtle,Terrapene ornata,Telemetry,6/3/21,15:20:58,41.3410179,-91.08458417,Female,"3,11L1,8R",Cuatro,Found,Active,95,"Lentic (river, creek)",,,,,
3658,tracked turtle,Terrapene ornata,Telemetry,6/6/21,13:56:30,41.33936049,-91.08628109,Female,"3,11L1,8R",Cuatro,Found,Not Active,15,On Land,,,,,
3711,tracked turtle,Terrapene ornata,Telemetry,6/7/21,14:05:57,41.33858793,-91.08657046,Female,"3,11L1,8R",Cuatro,Found,Not Active,0,On Land,,,,,buried under cedar
3752,tracked turtle,Terrapene ornata,Telemetry,6/8/21,13:05:23,41.34020462,-91.08593468,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
3776,tracked turtle,Terrapene ornata,Telemetry,6/9/21,11:42:19,41.34018659,-91.0859041,Female,"3,11L1,8R",Cuatro,Found,Not Active,50,On Land,,,,,i dont think shes moved.  but shes alive
3805,tracked turtle,Terrapene ornata,Telemetry,6/11/21,9:47:13,41.34090148,-91.08439434,Female,"3,11L1,8R",Cuatro,Found,Not Active,25,On Land,,,,,
3953,tracked turtle,Terrapene ornata,Telemetry,6/15/21,8:48:04,41.34096004,-91.08393567,Female,"3,11L1,8R",Cuatro,Found,Active,80,On Land,,,,,was in the open.  hid under grass while i was taking a pic
4012,tracked turtle,Terrapene ornata,Telemetry,6/18/21,9:17:01,41.34114176,-91.08414531,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
4085,tracked turtle,Terrapene ornata,Telemetry,6/23/21,9:26:55,41.34092886,-91.08442817,Female,"3,11L1,8R",Cuatro,Found,Not Active,5,On Land,,,,,
4178,tracked turtle,Terrapene ornata,Telemetry,7/2/21,10:21:37,41.34132212,-91.08428701,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
4346,tracked turtle,Terrapene ornata,Telemetry,7/12/21,11:14:05,41.3409484,-91.08456715,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
4522,tracked turtle,Terrapene ornata,Telemetry,7/20/21,13:35:38,41.34055382,-91.08507408,Female,"3,11L1,8R",Cuatro,Found,Active,0,On Land,,,,,downloaded datalogger
4564,tracked turtle,Terrapene ornata,Telemetry,7/27/21,9:49:53,41.34082343,-91.08509135,Female,"3,11L1,8R",Cuatro,Found,Active,50,On Land,,,,,
4570,tracked turtle,Terrapene ornata,Telemetry,8/4/21,13:09:07,41.34101927,-91.08402215,Female,"3,11L1,8R",Cuatro,Found,Active,0,On Land,,,,,
4610,tracked turtle,Terrapene ornata,Telemetry,8/11/21,9:42:38,41.34074489,-91.08542327,Female,"3,11L1,8R",Cuatro,Found,Not Active,0,On Land,,,,,
