Station,Lat,Long,Date,Hour,tmp(f),relhumidity,solar,precip,windspeed,soil_temp(4in),soil_temp(12in),soil_temp(24in),soil_temp(50in),soil12vwc
FRUI4,41.356,-91.13603,4/20/21,15:00,43.1168,39.34,1393134.3,0,10.070017,52.16,52.538,54.86,52.916,3.9
FRUI4,41.356,-91.13603,4/20/21,16:00,43.8566,37.44,1135626.1,0,9.200016,52.736,52.556,54.716,52.952,4
FRUI4,41.356,-91.13603,4/20/21,17:00,44.2382,36.18,923537.8,0,9.690016,53.078,52.574,54.662,52.952,3.9
FRUI4,41.356,-91.13603,4/20/21,18:00,44.1068,35.12,972954.04,0,10.690018,53.24,52.61,54.536,52.934,3.9
FRUI4,41.356,-91.13603,4/20/21,19:00,42.9656,36.57,356919.62,0,9.770017,53.204,52.664,54.5,52.97,3.9
FRUI4,41.356,-91.13603,4/20/21,20:00,40.3142,42.04,89054.94,0,8.820015,52.664,52.754,54.446,52.934,3.9
FRUI4,41.356,-91.13603,4/20/21,21:00,37.4468,52.79,528.84,0,5.7340093,51.818,52.808,54.374,52.952,3.9
FRUI4,41.356,-91.13603,4/20/21,22:00,33.5768,61.15,0,0,2.435004,50.846,52.88,54.32,52.934,3.9
FRUI4,41.356,-91.13603,4/20/21,23:00,33.5912,58.4,0,0,0,49.784,52.898,54.284,52.952,3.9
FRUI4,41.356,-91.13603,4/21/21,0:00,31.1918,64.54,0,0,0,48.722,52.916,54.248,52.934,3.9
FRUI4,41.356,-91.13603,4/21/21,1:00,30.9866,66,0,0,0.062000103,47.768,52.862,54.212,52.97,3.9
FRUI4,41.356,-91.13603,4/21/21,2:00,29.273,69.32,0,0,0.45200077,46.904,52.79,54.194,52.97,3.9
FRUI4,41.356,-91.13603,4/21/21,3:00,27.9896,74.01,0,0,0,46.076,52.7,54.158,52.97,3.9
FRUI4,41.356,-91.13603,4/21/21,4:00,27.8762,75.87,0,0,1.0580018,45.3182,52.556,54.176,52.934,3.9
FRUI4,41.356,-91.13603,4/21/21,5:00,26.1176,78.68,0,0,2.423004,44.681,52.376,54.104,52.952,3.9
FRUI4,41.356,-91.13603,4/21/21,6:00,25.43,78.14,91.560006,0,0.21100034,44.0906,52.196,54.05,52.934,3.9
FRUI4,41.356,-91.13603,4/21/21,7:00,28.5458,70.68,79187.87,0,0.13100022,43.5542,51.998,54.05,52.934,3.9
FRUI4,41.356,-91.13603,4/21/21,8:00,34.0826,62.18,580271.9,0,1.229002,43.0898,51.782,53.978,52.934,3.9
FRUI4,41.356,-91.13603,4/21/21,9:00,39.1262,54.02,1219452,0,2.8320048,42.9818,51.548,53.924,52.934,3.9
FRUI4,41.356,-91.13603,4/21/21,10:00,42.602,43.5,1862346.1,0,3.3000054,43.8728,51.296,53.87,52.934,3.9
FRUI4,41.356,-91.13603,4/21/21,11:00,44.4956,36.95,2505066.4,0,4.8670077,45.7808,51.062,53.78,52.934,3.9
FRUI4,41.356,-91.13603,4/21/21,12:00,45.1004,34.88,2680764.4,0,7.947013,48.416,50.846,53.762,52.934,3.9
FRUI4,41.356,-91.13603,4/21/21,13:00,45.9644,36.76,2273520,0,8.150014,51.044,50.702,53.636,52.934,3.9
FRUI4,41.356,-91.13603,4/21/21,14:00,47.516,35.1,2382018,0,10.410018,52.934,50.648,53.546,52.916,3.9
FRUI4,41.356,-91.13603,4/21/21,15:00,47.102,37.26,1843326.2,0,11.040019,54.482,50.666,53.492,52.88,3.9
FRUI4,41.356,-91.13603,4/21/21,16:00,47.786,36.99,2242775.6,0,12.50002,55.562,50.792,53.402,52.898,3.9
FRUI4,41.356,-91.13603,4/21/21,17:00,46.688,36.33,1387997.9,0,13.140021,56.336,50.99,53.312,52.88,3.9
FRUI4,41.356,-91.13603,4/21/21,18:00,45.3182,35.95,750408.14,0,12.2700205,56.192,51.206,53.24,52.88,3.9
FRUI4,41.356,-91.13603,4/21/21,19:00,44.8646,34.44,367887,0,10.760018,55.616,51.458,53.204,52.88,3.9
FRUI4,41.356,-91.13603,4/21/21,20:00,42.2276,38.79,113181.786,0,6.8670115,54.716,51.71,53.132,52.88,3.9
FRUI4,41.356,-91.13603,4/21/21,21:00,38.9552,44.5,782.82,0,3.527006,53.618,51.908,53.114,52.844,3.9
FRUI4,41.356,-91.13603,4/21/21,22:00,34.1294,56.2,0,0,0.6830011,52.394,52.088,53.114,52.862,3.9
FRUI4,41.356,-91.13603,4/21/21,23:00,34.2518,55.5,0,0,0,51.152,52.25,53.078,52.844,3.9
FRUI4,41.356,-91.13603,4/22/21,0:00,33.1754,59.4,0,0,2.1390035,50.108,52.34,53.132,52.826,3.9
FRUI4,41.356,-91.13603,4/22/21,1:00,30.803,63.62,0,0,0,49.154,52.376,53.096,52.826,3.9
FRUI4,41.356,-91.13603,4/22/21,2:00,31.6292,62.71,0,0,0.30200052,48.2,52.394,53.15,52.808,3.9
FRUI4,41.356,-91.13603,4/22/21,3:00,30.9596,63.64,0,0,0.34400055,47.336,52.34,53.132,52.79,3.9
